Price,No_of_reviews,Rating,Published_Year,Cover_type,Genre,Title,Author,Sales_Rank
18.49,11833.0,4.7,2009,2.0,1.0,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,56.0
7.96,764.0,4.7,2009,2.0,1.0,A Bold Fresh Piece of Humanity,Bill O'Reilly,57.0
14.52,5477.0,4.8,2009,2.0,1.0,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,58.0
6.99,34536.0,4.7,2009,5.0,0.0,The Book Thief,Markus Zusak,59.0
15.85,2484.0,4.5,2009,2.0,0.0,South of Broad,Pat Conroy,60.0
10.33,3678.0,4.6,2009,5.0,1.0,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,61.0
20.58,9715.0,4.6,2009,2.0,0.0,The Host,Stephenie Meyer,62.0
9.79,929.0,4.3,2009,2.0,1.0,Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!,Jillian Michaels,63.0
11.3,4306.0,4.4,2009,2.0,0.0,Ford County: Stories,John Grisham,64.0
9.06,1094.0,4.6,2009,2.0,1.0,"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies",Michelle Malkin,65.0
11.04,8638.0,4.5,2009,5.0,1.0,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,66.0
16.97,16590.0,4.8,2009,2.0,0.0,"Diary of a Wimpy Kid, Book 1",Jeff Kinney,67.0
15.2,7133.0,4.7,2009,2.0,0.0,The Graveyard Book,Neil Gaiman,68.0
27.862499999999997,16893.0,4.8,2009,2.0,0.0,An Echo in the Bone (Outlander),Diana Gabaldon,69.0
19.81,6337.0,4.8,2009,2.0,0.0,"The Gathering Storm (Wheel of Time, Book 12)",Robert Jordan,70.0
16.99,7581.0,4.7,2009,5.0,1.0,Dreams from My Father: A Story of Race and Inheritance,Barack Obama,71.0
14.49,2837.0,4.3,2009,2.0,0.0,Pirate Latitudes: A Novel,Michael Crichton,72.0
6.21,267.0,4.5,2009,5.0,1.0,The Official SAT Study Guide: For the New SAT (tm),The College Board,73.0
24.95,4736.0,4.6,2009,5.0,1.0,Getting Things Done: The Art of Stress-Free Productivity,David Allen,74.0
10.5,70630.0,4.7,2009,5.0,1.0,How to Win Friends & Influence People,Dale Carnegie,75.0
27.862499999999997,1526.0,4.4,2009,5.0,1.0,The Official SAT Study Guide,The College Board,76.0
14.01,3294.0,4.6,2009,2.0,0.0,Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels),Janet Evanovich,77.0
10.83,4784.0,4.6,2009,5.0,0.0,Sarah's Key,Tatiana de Rosnay,78.0
7.99,2080.0,4.7,2009,3.0,0.0,From Dead to Worse (Sookie Stackhouse/True Blood),Charlaine Harris,79.0
27.862499999999997,10808.0,4.299999999999999,2009,2.0,0.0,Wolf Hall,Hilary Mantel,80.0
22.6,42770.0,4.7,2009,2.0,0.0,The Hunger Games,Suzanne Collins,81.0
13.2,425.0,4.6,2009,2.0,1.0,The Yankee Years,Joe Torre,82.0
23.95,1477.0,4.6,2009,5.0,0.0,Push: A Novel,Sapphire,83.0
14.95,956.0,4.3,2009,2.0,1.0,The End of Overeating: Taking Control of the Insatiable American Appetite,David Kessler,84.0
11.52,1787.0,4.3,2009,2.0,0.0,The Lacuna: A Novel,Barbara Kingsolver,85.0
17.99,772.0,4.5,2009,5.0,1.0,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,86.0
10.97,2194.0,4.7,2009,2.0,1.0,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,Nicholas D. Kristof,87.0
11.95,3826.0,4.4,2009,2.0,0.0,The Associate,John Grisham,88.0
22.72,2189.0,4.7,2009,2.0,1.0,Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,Jeff Hertzberg,89.0
9.99,312.0,4.5,2009,5.0,1.0,Three Cups of Tea: One Man's Journey to Change the World... One Child at a Time (Young Reader's Edition),Sarah Thomson,90.0
9.31,3525.0,4.7,2009,2.0,0.0,Pursuit of Honor,Vince Flynn,91.0
23.65,2143.0,4.6,2009,2.0,1.0,What the Dog Saw: And Other Adventures,Malcolm Gladwell,92.0
13.99,3597.0,4.7,2009,2.0,0.0,The Last Song,Nicholas Sparks,93.0
17.99,14137.0,4.5,2009,5.0,0.0,Atlas Shrugged,Ayn Rand,94.0
10.79,6013.0,4.3,2009,5.0,0.0,The White Tiger: A Novel,Aravind Adiga,95.0
17.89,766.0,4.299999999999999,2009,2.0,1.0,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",Gallup,96.0
16.14,4841.0,4.7,2009,5.0,0.0,Same Kind of Different As Me,Ron Hall,97.0
12.85,2801.0,4.6,2009,2.0,0.0,U is for Undertow: A Kinsey Millhone Novel,Sue Grafton,98.0
9.49,32459.0,4.7,2009,2.0,0.0,Catching Fire (The Hunger Games),Suzanne Collins,99.0
11.93,11051.0,4.7,2010,2.0,0.0,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,1.0
9.49,15466.0,4.5,2010,5.0,0.0,The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,2.0
8.96,2399.0,4.6,2010,2.0,1.0,Decision Points,George W. Bush,3.0
13.78,18068.0,4.8,2010,2.0,0.0,The Help,Kathryn Stockett,4.0
11.12,10693.0,4.7,2010,5.0,0.0,The Girl Who Played with Fire (Millennium Series),Stieg Larsson,5.0
11.71,10589.0,4.8,2010,2.0,0.0,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,6.0
18.29,7082.0,4.299999999999999,2010,2.0,1.0,StrengthsFinder 2.0,Gallup,7.0
9.08,37034.0,4.6,2010,2.0,0.0,Mockingjay (The Hunger Games),Suzanne Collins,8.0
13.92,1967.0,4.4,2010,2.0,1.0,Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,9.0
24.29,12674.0,4.5,2010,5.0,1.0,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,10.0
22.0,612.0,4.4,2010,2.0,1.0,"Autobiography of Mark Twain, Vol. 1",Mark Twain,11.0
18.24,5893.0,4.7,2010,2.0,1.0,The Big Short: Inside the Doomsday Machine,Michael Lewis,12.0
11.57,2494.0,4.5,2010,5.0,1.0,Food Rules: An Eater's Manual,Michael Pollan,13.0
14.54,33629.0,4.8,2010,2.0,1.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,14.0
9.03,3296.0,4.6,2010,2.0,0.0,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,15.0
14.99,1781.0,4.7,2010,2.0,1.0,Sh*t My Dad Says,Justin Halpern,16.0
16.48,1920.0,4.7,2010,5.0,1.0,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,17.0
10.59,6165.0,4.7,2010,2.0,0.0,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,18.0
13.8,4699.0,4.6,2010,2.0,1.0,Life,Keith Richards,19.0
12.0,6790.0,4.6,2010,5.0,0.0,Cutting for Stone,Abraham Verghese,20.0
12.89,576.0,4.5,2010,2.0,1.0,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,21.0
27.862499999999997,1526.0,4.4,2010,5.0,1.0,The Official SAT Study Guide,The College Board,22.0
7.92,1358.0,4.5,2010,2.0,1.0,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,23.0
14.19,16936.0,4.7,2010,2.0,1.0,The Immortal Life of Henrietta Lacks,Rebecca Skloot,24.0
14.53,11549.0,4.8,2010,2.0,0.0,"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,25.0
22.99,860.0,4.5,2010,5.0,1.0,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,26.0
16.04,22209.0,4.7,2010,2.0,1.0,Outliers: The Story of Success,Malcolm Gladwell,27.0
9.49,32459.0,4.7,2010,2.0,0.0,Catching Fire (The Hunger Games),Suzanne Collins,28.0
20.72,6296.0,4.6,2010,2.0,1.0,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,29.0
16.5,5803.0,4.5,2010,2.0,1.0,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,30.0
11.49,3497.0,4.4,2010,5.0,1.0,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,31.0
17.0,2406.0,4.7,2010,5.0,1.0,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,32.0
9.35,7914.0,4.4,2010,2.0,0.0,The Confession: A Novel,John Grisham,33.0
16.97,3242.0,4.6,2010,2.0,1.0,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,34.0
27.862499999999997,577.0,4.7,2010,5.0,1.0,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,35.0
10.44,14955.0,4.8,2010,2.0,0.0,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,36.0
16.99,3912.0,4.6,2010,2.0,1.0,Switch: How to Change Things When Change Is Hard,Chip Heath,37.0
9.8,16418.0,4.7,2010,5.0,0.0,The Art of Racing in the Rain: A Novel,Garth Stein,38.0
23.99,7012.0,4.7,2010,5.0,1.0,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,39.0
9.07,531.0,4.5,2010,2.0,1.0,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,40.0
10.61,5025.0,4.7,2010,2.0,0.0,"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,41.0
18.9,1223.0,4.8,2010,5.0,0.0,Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,42.0
10.2,1902.0,4.299999999999999,2010,5.0,0.0,Little Bee: A Novel,Chris Cleave,43.0
15.79,1371.0,4.8,2010,2.0,1.0,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,44.0
27.862499999999997,612.0,4.6,2010,5.0,1.0,George Washington's Sacred Fire,Peter A. Lillback,45.0
9.21,2727.0,4.7,2010,5.0,1.0,Radical: Taking Back Your Faith from the American Dream,David Platt,46.0
21.49,7325.0,4.8,2010,2.0,0.0,"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,47.0
10.83,4784.0,4.6,2010,5.0,0.0,Sarah's Key,Tatiana de Rosnay,48.0
22.6,42770.0,4.7,2010,2.0,0.0,The Hunger Games,Suzanne Collins,49.0
19.99,1676.0,4.6,2010,5.0,1.0,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,51.0
12.0,1586.0,4.299999999999999,2010,2.0,1.0,Cleopatra: A Life,Stacy Schiff,52.0
12.23,2718.0,4.299999999999999,2010,2.0,0.0,Freedom: A Novel,Jonathan Franzen,53.0
17.48,2718.0,4.299999999999999,2010,2.0,0.0,Freedom,Jonathan Franzen,54.0
18.49,11833.0,4.7,2010,2.0,1.0,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,55.0
16.98,18702.0,4.5,2010,2.0,0.0,Fall of Giants (The Century Trilogy),Ken Follett,56.0
9.49,8494.0,4.4,2010,5.0,1.0,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,57.0
9.27,8494.0,4.4,2010,5.0,1.0,"Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,58.0
27.57,88.0,4.3,2010,2.0,1.0,Tao I: The Way of All Life,Zhi Gang Sha Dr.,59.0
9.65,1045.0,4.4,2010,2.0,1.0,Chelsea Chelsea Bang Bang,Chelsea Handler,60.0
8.58,1778.0,4.3,2010,5.0,0.0,Let the Great World Spin: A Novel,Colum McCann,61.0
14.52,5477.0,4.8,2010,2.0,1.0,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,62.0
12.99,5732.0,4.4,2010,5.0,1.0,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,63.0
10.33,3678.0,4.6,2010,5.0,1.0,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,64.0
27.862499999999997,1071.0,4.299999999999999,2010,7.0,1.0,The Belly Fat Cure: Discover the New Carb Swap Systemâ„¢ and Lose 4 to 9 lbs. Every Week,Jorge Cruise,65.0
7.99,13936.0,4.8,2010,5.0,0.0,"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)",Rick Riordan,66.0
13.39,18929.0,4.5,2010,2.0,1.0,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Timothy Ferriss,67.0
19.59,3418.0,4.6,2010,2.0,0.0,"Full Dark, No Stars",Stephen King,68.0
11.37,3421.0,4.6,2010,2.0,0.0,Sizzling Sixteen (Stephanie Plum Novels),Janet Evanovich,69.0
15.99,2790.0,4.5,2010,2.0,0.0,The Grand Design,Stephen Hawking,70.0
15.0,1311.0,4.6,2010,2.0,0.0,The Overton Window ,Glenn Beck,71.0
7.53,31196.0,4.9,2010,2.0,1.0,"Jesus Calling, Padded Hardcover, with Scripture references",Sarah Young,72.0
12.6,668.0,4.6,2010,2.0,1.0,Spoken from the Heart,Laura Bush,73.0
21.98,9371.0,4.8,2010,2.0,0.0,Diary of a Wimpy Kid Do-it-yourself Book,Jeff Kinney,74.0
15.5,3959.0,4.7,2010,5.0,1.0,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,Mark Nepo,75.0
27.862499999999997,7568.0,4.8,2010,2.0,1.0,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",Julia Child,76.0
14.77,10931.0,4.7,2010,2.0,0.0,Safe Haven,Nicholas Sparks,77.0
14.3,853.0,4.5,2010,2.0,1.0,"Change Your Brain, Change Your Body: Use Your Brain to Get and Keep the Body You Have Always Wanted",Daniel G. Amen,78.0
18.93,1572.0,4.5,2010,2.0,1.0,"The Kind Diet: A Simple Guide to Feeling Great, Losing Weight, and Saving the Planet",Alicia Silverstone,79.0
27.862499999999997,1514.0,4.7,2010,2.0,1.0,Decoded,Jay-Z,80.0
12.06,19006.0,4.6,2010,5.0,1.0,The Glass Castle: A Memoir (book),Jeannette Walls,81.0
13.4,23392.0,4.7,2010,5.0,0.0,The Shack: Where Tragedy Confronts Eternity,William P. Young,82.0
14.3,16912.0,4.7,2010,2.0,0.0,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,83.0
23.23,1234.0,4.7,2010,3.0,0.0,Sookie Stackhouse 8-copy Boxed Set (Sookie Stackhouse / Southern Vampire),Charlaine Harris,84.0
10.42,14884.0,4.7,2010,5.0,0.0,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,85.0
13.49,6239.0,4.6,2010,5.0,0.0,Hotel on the Corner of Bitter and Sweet,Jamie Ford,86.0
15.96,6580.0,4.4,2010,2.0,1.0,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,87.0
17.99,772.0,4.5,2010,5.0,1.0,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,88.0
11.25,2206.0,4.7,2010,5.0,0.0,"Happy Ever After (Bride Quartet, Book 4)",Nora Roberts,89.0
24.33,726.0,4.4,2010,5.0,1.0,A Guide to the Project Management Body of Knowledge,Project Management Institute,90.0
6.99,34536.0,4.7,2010,5.0,0.0,The Book Thief,Markus Zusak,91.0
13.49,30925.0,4.5,2010,5.0,0.0,The Catcher in the Rye,J. D. Salinger,92.0
24.0,5331.0,4.7,2010,5.0,1.0,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",Thomas Campbell,93.0
18.47,8352.0,4.6,2010,2.0,0.0,American Assassin: A Thriller (A Mitch Rapp Novel),Vince Flynn,94.0
13.99,5996.0,4.5,2010,2.0,1.0,Rework,Jason Fried,95.0
10.98,2701.0,4.6,2010,5.0,1.0,In Defense of Food: An Eater's Manifesto,Michael Pollan,96.0
12.92,935.0,4.299999999999999,2010,2.0,0.0,Squirrel Seeks Chipmunk: A Modest Bestiary,David Sedaris,97.0
16.13,16756.0,4.6,2010,2.0,0.0,Who Moved My Cheese,Spencer Johnson,98.0
17.33,12780.0,4.7,2011,2.0,1.0,Steve Jobs,Walter Isaacson,1.0
10.24,17368.0,4.7,2011,5.0,1.0,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,2.0
10.99,11127.0,4.8,2011,2.0,0.0,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,3.0
18.29,7082.0,4.299999999999999,2011,2.0,1.0,StrengthsFinder 2.0,Gallup,4.0
11.69,42770.0,4.7,2011,5.0,0.0,The Hunger Games (Book 1),Suzanne Collins,5.0
14.54,33629.0,4.8,2011,2.0,1.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,6.0
15.0,9010.0,4.7,2011,2.0,0.0,Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,7.0
14.35,20243.0,4.8,2011,2.0,0.0,Go the F**k to Sleep,Adam Mansbach,8.0
9.08,37034.0,4.6,2011,2.0,0.0,Mockingjay (The Hunger Games),Suzanne Collins,9.0
27.862499999999997,6354.0,4.6,2011,3.0,0.0,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,10.0
9.49,32459.0,4.7,2011,2.0,0.0,Catching Fire (The Hunger Games),Suzanne Collins,11.0
16.97,3104.0,4.3,2011,2.0,1.0,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,12.0
24.31,17252.0,4.5,2011,2.0,0.0,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,13.0
9.99,11657.0,4.8,2011,2.0,0.0,"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,14.0
9.99,10849.0,4.7,2011,2.0,1.0,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,15.0
24.29,12674.0,4.5,2011,5.0,1.0,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,16.0
9.98,18068.0,4.8,2011,5.0,0.0,The Help,Kathryn Stockett,17.0
12.1,16936.0,4.7,2011,5.0,1.0,The Immortal Life of Henrietta Lacks,Rebecca Skloot,18.0
16.43,3115.0,4.7,2011,2.0,0.0,11/22/63: A Novel,Stephen King,19.0
27.862499999999997,1526.0,4.4,2011,5.0,1.0,The Official SAT Study Guide,The College Board,20.0
7.53,31196.0,4.9,2011,2.0,1.0,"Jesus Calling, Padded Hardcover, with Scripture references",Sarah Young,21.0
27.862499999999997,27185.0,4.8,2011,2.0,0.0,The Hunger Games Trilogy Boxed Set,Suzanne Collins,22.0
12.0,6790.0,4.6,2011,5.0,0.0,Cutting for Stone,Abraham Verghese,23.0
10.28,8169.0,4.3,2011,2.0,1.0,Tina Fey: Bossypants,Tina Fey,24.0
15.96,6580.0,4.4,2011,2.0,1.0,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,25.0
14.49,7589.0,4.5,2011,2.0,1.0,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,26.0
23.99,7012.0,4.7,2011,5.0,1.0,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,27.0
16.48,1920.0,4.7,2011,5.0,1.0,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,28.0
18.19,6155.0,4.7,2011,2.0,1.0,A Stolen Life: A Memoir,Jaycee Dugard,29.0
11.93,11051.0,4.7,2011,2.0,0.0,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,30.0
11.28,4923.0,4.5,2011,5.0,0.0,Water for Elephants: A Novel,Sara Gruen,31.0
20.72,6296.0,4.6,2011,2.0,1.0,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,32.0
12.8,9887.0,4.5,2011,2.0,1.0,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,33.0
17.12,4514.0,4.6,2011,2.0,1.0,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,34.0
